name,id,t_id,begin_fy,govt_type
Salina City,0014100000rD11AAAS,569,2017-07-01,City
Salt Lake City,0014100000rD11BAAS,571,2017-07-01,City
Sandy City,0014100000rD11CAAS,573,2017-07-01,City
Santa Clara City,0014100000rD11DAAS,575,2017-07-01,City
Santaquin City,0014100000rD11EAAS,577,2017-07-01,City
Saratoga Springs,0014100000rD11FAAS,579,2017-07-01,City
Smithfield City,0014100000rD11GAAS,581,2017-07-01,City
South Jordan City,0014100000rD11HAAS,583,2017-07-01,City
South Ogden City,0014100000rD11IAAS,585,2017-07-01,City
South Salt Lake City,0014100000rD11JAAS,587,2017-07-01,City
South Weber City,0014100000rD11KAAS,589,2017-07-01,City
Spanish Fork City,0014100000rD11LAAS,591,2017-07-01,City
Spring City,0014100000rD11MAAS,847,2017-07-01,City
Springville City,0014100000rD11NAAS,595,2017-07-01,City
St. George City,0014100000rD11OAAS,597,2017-07-01,City
Sunset City,0014100000rD11QAAS,599,2017-07-01,City
Syracuse City,0014100000rD11RAAS,601,2017-07-01,City
Taylorsville City,0014100000rD11SAAS,603,2017-07-01,City
Tooele City,0014100000rD11TAAS,605,2017-07-01,City
Toquerville City,0014100000rD11UAAS,1139,2017-07-01,City
Tremonton City,0014100000rD11VAAS,607,2017-07-01,City
Uintah City,0014100000rD11WAAS,1059,2017-07-01,City
Vernal City,0014100000rD11XAAS,609,2017-07-01,City
Washington City,0014100000rD11YAAS,613,2017-07-01,City
Washington Terrace City,0014100000rD11ZAAS,615,2017-07-01,City
Wellington City,0014100000rD11aAAC,617,2017-07-01,City
Wellsville City,0014100000rD11bAAC,619,2017-07-01,City
Wendover City,0014100000rD11cAAC,621,2017-07-01,City
West Bountiful City,0014100000rD11dAAC,623,2017-07-01,City
West Haven City,0014100000rD11eAAC,625,2017-07-01,City
West Jordan City,0014100000rD11fAAC,627,2017-07-01,City
West Point City,0014100000rD11gAAC,629,2017-07-01,City
West Valley City,0014100000rD11hAAC,631,2017-07-01,City
Willard City,0014100000rD11iAAC,637,2017-07-01,City
Woodland Hills City,0014100000rD11jAAC,633,2017-07-01,City
Woods Cross City,0014100000rD11kAAC,635,2017-07-01,City
Francis City,0014100000rD11lAAC,423,2017-07-01,City
East Carbon City,0014100000rD11mAAC,399,2017-07-01,City
Millcreek City,0014100000rD11oAAC,1371,2017-07-01,City
Blacksmith Fork Conservation District,0014100000rD11pAAC,1645,2017-07-01,Conservation_District
North Cache Conservation District,0014100000rD11qAAC,1662,2017-07-01,Conservation_District
Northern Utah Conservation District,0014100000rD11rAAC,1663,2017-07-01,Conservation_District
Rich County Conservation District,0014100000rD11sAAC,1665,2017-07-01,Conservation_District
West Box Elder Conservation District,0014100000rD11tAAC,1661,2017-07-01,Conservation_District
Davis County Conservation District,0014100000rD11uAAC,1648,2017-07-01,Conservation_District
Grantsville Conservation District,0014100000rD11vAAC,1654,2017-07-01,Conservation_District
Morgan Conservation District,0014100000rD11wAAC,1660,2017-07-01,Conservation_District
Salt Lake Conservation District,0014100000rD11xAAC,1666,2017-07-01,Conservation_District
Shambip Conservation District,0014100000rD11yAAC,1670,2017-07-01,Conservation_District
Weber County Conservation District,0014100000rD11zAAC,1676,2017-07-01,Conservation_District
Alpine Conservation District,0014100000rD120AAC,1643,2017-07-01,Conservation_District
Kamas Valley Conservation District,0014100000rD121AAC,1657,2017-07-01,Conservation_District
Summit County Conservation District,0014100000rD122AAC,1671,2017-07-01,Conservation_District
Timp/Nebo Conservation District,0014100000rD123AAC,1672,2017-07-01,Conservation_District
Wasatch Conservation District,0014100000rD124AAC,1642,2017-07-01,Conservation_District
Delta Conservation District,0014100000rD125AAC,1650,2017-07-01,Conservation_District
Fremont River Conservation District,0014100000rD126AAC,1638,2017-07-01,Conservation_District
Juab Conservation District,0014100000rD127AAC,1656,2017-07-01,Conservation_District
Millard Conservation District,0014100000rD128AAC,1659,2017-07-01,Conservation_District
Piute County Conservation District,0014100000rD129AAC,1664,2017-07-01,Conservation_District
Sanpete County Conservation District,0014100000rD12AAAS,1669,2017-07-01,Conservation_District
Sevier County Conservation District,0014100000rD12BAAS,1639,2017-07-01,Conservation_District
Beaver Conservation District,0014100000rD12CAAS,1644,2017-07-01,Conservation_District
Canyonlands Conservation District,0014100000rD12DAAS,1646,2017-07-01,Conservation_District
Dixie Conservation District,0014100000rD12EAAS,1649,2017-07-01,Conservation_District
E and I Conservation District,0014100000rD12FAAS,1652,2017-07-01,Conservation_District
Kane County Conservation District,0014100000rD12GAAS,1658,2017-07-01,Conservation_District
Twin M Conservation District,0014100000rD12HAAS,1673,2017-07-01,Conservation_District
Upper Sevier Conservation District,0014100000rD12IAAS,1675,2017-07-01,Conservation_District
Daggett Conservation District,0014100000rD12JAAS,1647,2017-07-01,Conservation_District
Duchesne County Conservation District,0014100000rD12KAAS,1651,2017-07-01,Conservation_District
Uintah County Conservation District,0014100000rD12LAAS,1674,2017-07-01,Conservation_District
Grand Conservation District,0014100000rD12MAAS,1653,2017-07-01,Conservation_District
Green River Conservation District,0014100000rD12NAAS,1655,2017-07-01,Conservation_District
Price River Conservation District,0014100000rD12OAAS,1677,2017-07-01,Conservation_District
San Juan Conservation District,0014100000rD12PAAS,1667,2017-07-01,Conservation_District
San Rafael Conservation District,0014100000rD12QAAS,1668,2017-07-01,Conservation_District
Beaver County,0014100000rD12RAAS,297,2018-01-01,County
Box Elder County,0014100000rD12SAAS,299,2018-01-01,County
Cache County,0014100000rD12TAAS,301,2018-01-01,County
Carbon County,0014100000rD12UAAS,303,2018-01-01,County
Daggett County,0014100000rD12VAAS,305,2018-01-01,County
Davis County,0014100000rD12WAAS,307,2018-01-01,County
Duchesne County,0014100000rD12XAAS,309,2018-01-01,County
Emery County,0014100000rD12YAAS,311,2018-01-01,County
Garfield County,0014100000rD12ZAAS,313,2018-01-01,County
Grand County,0014100000rD12aAAC,315,2018-01-01,County
Iron County,0014100000rD12bAAC,317,2018-01-01,County
Juab County,0014100000rD12cAAC,319,2018-01-01,County
Kane County,0014100000rD12dAAC,321,2018-01-01,County
Millard County,0014100000rD12eAAC,323,2018-01-01,County
Morgan County,0014100000rD12fAAC,325,2018-01-01,County
Piute County,0014100000rD12gAAC,327,2018-01-01,County
Rich County,0014100000rD12hAAC,329,2018-01-01,County
Salt Lake County,0014100000rD12iAAC,331,2018-01-01,County
San Juan County,0014100000rD12jAAC,333,2018-01-01,County
Sanpete County,0014100000rD12kAAC,335,2018-01-01,County
Sevier County,0014100000rD12lAAC,337,2018-01-01,County
Summit County,0014100000rD12mAAC,339,2018-01-01,County
Tooele County,0014100000rD12nAAC,341,2018-01-01,County
Uintah County,0014100000rD12oAAC,343,2018-01-01,County
Utah County,0014100000rD12pAAC,345,2018-01-01,County
Wasatch County,0014100000rD12qAAC,347,2018-01-01,County
Washington County,0014100000rD12rAAC,349,2018-01-01,County
Wayne County,0014100000rD12sAAC,351,2018-01-01,County
Weber County,0014100000rD12tAAC,353,2018-01-01,County
Cedar City Housing Authority,0014100000rD132AAC,1605,2017-07-01,Housing
Emery County Housing Authority,0014100000rD134AAC,1604,2018-04-01,Housing
Housing Authority of Carbon County,0014100000rD135AAC,1608,2018-04-01,Housing
Housing Authority of Southeastern Utah,0014100000rD136AAC,1613,2017-07-01,Housing
Utah County Housing Authority,0014100000rD137AAC,1615,2018-01-01,Housing
Millard County Housing Authority,0014100000rD138AAC,1593,2018-01-01,Housing
Myton City Housing Authority,0014100000rD139AAC,1616,2018-04-01,Housing
Ogden City Housing Authority,0014100000rD13AAAS,1610,2017-07-01,Housing
Provo City Housing Authority,0014100000rD13CAAS,1591,2017-10-01,Housing
Roosevelt Housing Authority,0014100000rD13DAAS,1606,2018-04-01,Housing
Salt Lake City Housing Authority,0014100000rD13EAAS,1611,2018-01-01,Housing
Salt Lake County Housing Authority,0014100000rD13FAAS,1612,2017-07-01,Housing
St. George Housing Authority,0014100000rD13GAAS,1594,2017-07-01,Housing
Tooele County Housing Authority,0014100000rD13HAAS,1614,2018-01-01,Housing
Weber Housing Authority,0014100000rD13IAAS,1171,2018-01-01,Housing
Beaver Housing Authority,0014100000rD13KAAS,1607,2017-10-01,Housing
Military Installation Development Authority,0014100000rD13LAAS,893,2017-07-01,Independent_Quasi_State_Entity
Southeastern Utah District Health Department,0014100000rD13MAAS,1189,2018-01-01,Interlocal
Southwest Utah Public Health Department,0014100000rD13NAAS,1131,2018-01-01,Interlocal
Ashley Valley Sewer Management Board,0014100000rD13OAAS,879,2018-01-01,Interlocal
Central Valley Water Reclamation Facility,0014100000rD13PAAS,695,2018-01-01,Interlocal
Davis-Salt Lake Aerial Spray Authority,0014100000rD13QAAS,1436,2018-01-01,Interlocal
Drug Enforcement Administration Metropolitan Narcotics Task Force,0014100000rD13RAAS,1153,2017-07-01,Interlocal
Duchesne/Wasatch Special Service District,0014100000rD13SAAS,883,2018-01-01,Interlocal
Eastern Utah Television and Technology Association,0014100000rD13TAAS,1385,2018-01-01,Interlocal
Gas Departments of Hildale/Colorado City,0014100000rD13UAAS,1388,2017-07-01,Interlocal
Grand Water and Sewer Service Agency,0014100000rD13VAAS,887,2018-01-01,Interlocal
Heber Light & Power Company,0014100000rD13WAAS,889,2018-01-01,Interlocal
Jordan River Commission,0014100000rD13ZAAS,1389,2017-07-01,Interlocal
Lone Peak Public Safety District,0014100000rD13bAAC,955,2017-07-01,Interlocal
Multi-County Appraisal Trust Fund,0014100000rD13cAAC,897,2018-01-01,Interlocal
Sanpete Sanitary Landfill COOP,0014100000rD1AFAA0,1061,2018-01-01,Interlocal
South Utah Valley Municipal Water Association,0014100000rD1AIAA0,909,2017-07-01,Interlocal
Southern Utah Valley Power,0014100000rD1AJAA0,913,2017-10-01,Interlocal
Stansbury Service Agency,0014100000rD1ALAA0,919,2018-01-01,Interlocal
Trans-Jordan Cities,0014100000rD1AMAA0,921,2017-07-01,Interlocal
Fox Hollow Golf Course,0014100000rD1ANAA0,1405,2018-01-01,Interlocal
Unified Police Department,0014100000rD1APAA0,927,2017-07-01,Interlocal
Utah Counties Indemnity Pool,0014100000rD1AQAA0,931,2018-01-01,Interlocal
Utah Infrastructure Agency,0014100000rD1ARAA0,933,2017-07-01,Interlocal
Utah Lake Commission,0014100000rD1ASAA0,1390,2017-07-01,Interlocal
Utah League of Cities and Towns,0014100000rD1ATAA0,983,2017-07-01,Interlocal
Utah Local Governments Trust,0014100000rD1AUAA0,935,2018-01-01,Interlocal
Utah Risk Management Mutual Association,0014100000rD1AXAA0,939,2017-07-01,Interlocal
Utah Water Finance Agency,0014100000rD1AYAA0,943,2017-07-01,Interlocal
Valley Emergency Communications Center,0014100000rD1AZAA0,947,2017-07-01,Interlocal
Water Departments of Hildale/Colorado City,0014100000rD1AaAAK,925,2017-07-01,Interlocal
Northeastern Counseling Center/Uintah Basin Tri-County Mental Health,0014100000rD1AbAAK,903,2017-07-01,Interlocal
Southwest Behavioral Health Center,0014100000rD1AcAAK,915,2019-07-01,Interlocal
Weber Human Services,0014100000rD1AdAAK,953,2017-07-01,Interlocal
North Sanpete Ambulance Service,0014100000rD1AeAAK,1403,2017-07-01,Interlocal
South Valley Water Reclamation Facility,0014100000rD1AgAAK,657,2018-01-01,Interlocal
Unified Fire Authority,0014100000rD1AiAAK,679,2017-07-01,Interlocal
Utah School Boards Risk Management Insurance Association,0014100000rD1AjAAK,941,2017-07-01,Interlocal
UTOPIA,0014100000rD1AkAAK,945,2017-07-01,Interlocal
Heber Valley Tourism and Economic Development Agency,0014100000rD1AlAAK,1047,2018-01-01,Interlocal
Community Education Channel Agency,0014100000rD1AnAAK,1406,2017-07-01,Interlocal
Seven County Infrastructure Coalition,0014100000rD1AoAAK,1404,2018-01-01,Interlocal
Washington County Flood Control Authority,0014100000rD1ApAAK,1109,2018-01-01,Interlocal
Northern Utah Environmental Resource Agency,0014100000rD1AqAAK,1401,2018-01-01,Interlocal
"Center for Education, Business, and the Arts Interlocal Agency",0014100000rD1ArAAK,1387,2018-01-01,Interlocal
Weber Morgan Strike Force,0014100000rD1AsAAK,1437,2018-07-01,Interlocal
Castle Dale Building Commission,0014100000rD1AtAAK,1597,2018-01-01,Interlocal
Gunnison Valley Police Department,0014100000rD1AuAAK,1402,2017-07-01,Interlocal
Central Utah Public Health Department,0014100000rD1AvAAK,1603,2018-01-01,Interlocal
Bear River Health Department,0014100000rD1AwAAK,1161,2018-01-01,Local_and_Special_Service_District
Central Utah Counseling Center,0014100000rD1AxAAK,961,2017-07-01,Interlocal
San Juan Health Care Services District,0014100000rD1AyAAK,971,2018-01-01,Local_and_Special_Service_District
North Tooele Fire Protection Service District,0014100000rD1AzAAK,987,2018-01-01,Local_and_Special_Service_District
San Juan Mental Health / Substance Abuse Special Service District,0014100000rD1B0AAK,721,2018-01-01,Local_and_Special_Service_District
Alpine Cove Water Special Service District,0014100000rD1B1AAK,1379,2018-01-01,Local_and_Special_Service_District
Alta Canyon Recreation Special Service District,0014100000rD1B2AAK,765,2017-07-01,Local_and_Special_Service_District
American Fork Metropolitan Water District,0014100000rD1B3AAK,1409,2018-01-01,Local_and_Special_Service_District
Angell Springs Special Service District,0014100000rD1B4AAK,1540,2018-01-01,Local_and_Special_Service_District
Antimony Cemetery Maintenance District,0014100000rD1B5AAK,1457,2018-01-01,Local_and_Special_Service_District
Ashley Valley Water & Sewer Improvement District,0014100000rD1B6AAK,641,2018-01-01,Local_and_Special_Service_District
Austin Community Special Service District,0014100000rD1B7AAK,1541,2017-07-01,Local_and_Special_Service_District
Avon Cemetery Maintenance District,0014100000rD1B8AAK,1459,2018-01-01,Local_and_Special_Service_District
Axtell Community Special Service District,0014100000rD1B9AAK,1542,2018-01-01,Local_and_Special_Service_District
Ballard Water Improvement District,0014100000rD1BAAA0,643,2018-01-01,Local_and_Special_Service_District
Bear Lake Special Service District,0014100000rD1BBAA0,1067,2018-01-01,Local_and_Special_Service_District
Bear River Water Conservancy District,0014100000rD1BCAA0,973,2018-01-01,Local_and_Special_Service_District
Beaver County Special Serv. District 2 (fire),0014100000rD1BFAA0,1363,2018-01-01,Local_and_Special_Service_District
Beaver Dam Village Special Service District,0014100000rD1BHAA0,1410,2018-01-01,Local_and_Special_Service_District
Beaver Fire District 1,0014100000rD1BIAA0,1411,2018-01-01,Local_and_Special_Service_District
Beaver Special Service District 7,0014100000rD1BKAA0,1543,2018-01-01,Local_and_Special_Service_District
Belmont Drainage District,0014100000rD1BLAA0,1460,2018-01-01,Local_and_Special_Service_District
Ben Lomond Cemetery Maintenance District,0014100000rD1BMAA0,1412,2018-01-01,Local_and_Special_Service_District
Benchland Water District,0014100000rD1BNAA0,1031,2018-01-01,Local_and_Special_Service_District
Benjamin Cemetery Maintenance District,0014100000rD1BOAA0,1461,2018-01-01,Local_and_Special_Service_District
Benjamin Drainage District,0014100000rD1BPAA0,1462,2018-01-01,Local_and_Special_Service_District
Benson Culinary Water Improvement District,0014100000rD1BQAA0,1463,2018-01-01,Local_and_Special_Service_District
Big Cottonwood Canyon Improvement District,0014100000rD1BRAA0,1544,2018-01-01,Local_and_Special_Service_District
Big Plains Water and Sewer Special Service District,0014100000rD1BSAA0,1021,2017-07-01,Local_and_Special_Service_District
Blanding Cemetery Maintenance District,0014100000rD1BTAA0,1381,2018-01-01,Local_and_Special_Service_District
Bluff Service Area,0014100000rD1BUAA0,1464,2018-01-01,Local_and_Special_Service_District
Bluff Water Works District,0014100000rD1BVAA0,1439,2018-01-01,Local_and_Special_Service_District
Bona Vista Water Improvement District,0014100000rD1BWAA0,659,2018-01-01,Local_and_Special_Service_District
Bountiful Irrigation District,0014100000rD1BXAA0,687,2018-01-01,Local_and_Special_Service_District
Box Elder Willard City Flood Control,0014100000rD1BYAA0,1466,2018-01-01,Local_and_Special_Service_District
Box Elder County Service Area 2,0014100000rD1BZAA0,1467,2018-01-01,Local_and_Special_Service_District
Box Elder County Solid Waste (Grouse Creek Solid Waste),0014100000rD1BaAAK,1545,2018-01-01,Local_and_Special_Service_District
Box Elder County Special Service District 1,0014100000rD1BbAAK,1413,2018-01-01,Local_and_Special_Service_District
Box Elder Mosquito Abatement District,0014100000rD1BcAAK,1033,2018-01-01,Local_and_Special_Service_District
Brian Head Special Service District,0014100000rD1BdAAK,1431,2017-07-01,Local_and_Special_Service_District
Cache County Drainage District 3,0014100000rD1BfAAK,1468,2018-01-01,Local_and_Special_Service_District
Cache County Drainage District 5,0014100000rD1BgAAK,1469,2018-01-01,Local_and_Special_Service_District
Cache County Drainage District 6,0014100000rD1BhAAK,1470,2018-01-01,Local_and_Special_Service_District
Cache Valley Transit District,0014100000rD1BiAAK,265,2018-01-01,Local_and_Special_Service_District
Cannonville Cemetery Maintenance District,0014100000rD1BjAAK,1471,2018-01-01,Local_and_Special_Service_District
Canyon Land Improvement District,0014100000rD1BlAAK,1589,2018-01-01,Local_and_Special_Service_District
Canyonlands Health Care Special Service District,0014100000rD1BmAAK,965,2018-01-01,Local_and_Special_Service_District
Carbon County Rec. and Trans. Spec Serv Dist,0014100000rD1BnAAK,767,2018-01-01,Local_and_Special_Service_District
Carbon Water Conservancy District,0014100000rD1BoAAK,689,2018-01-01,Local_and_Special_Service_District
Cedar Mtn Fire Protection District,0014100000rD1BpAAK,771,2018-01-01,Local_and_Special_Service_District
Cedarview-Montwell Special Service District,0014100000rD1BqAAK,1365,2018-01-01,Local_and_Special_Service_District
Central Box Elder Fire Special Service District,0014100000rD1BrAAK,1394,2018-01-01,Local_and_Special_Service_District
Central Davis Sewer District,0014100000rD1BsAAK,691,2018-01-01,Local_and_Special_Service_District
Central Iron County Water Conservancy District,0014100000rD1BtAAK,693,2018-01-01,Local_and_Special_Service_District
Central Utah Water Conservancy District,0014100000rD1BuAAK,639,2017-07-01,Local_and_Special_Service_District
Central Weber Sewer Improvement District,0014100000rD1BvAAK,697,2018-01-01,Local_and_Special_Service_District
Charleston Water Conservancy District,0014100000rD1BwAAK,1445,2018-01-01,Local_and_Special_Service_District
Church Wells Special Service District,0014100000rD1BxAAK,1547,2018-01-01,Local_and_Special_Service_District
Clinton Sanitary Sewer SSD,0014100000rD1ByAAK,1396,2017-07-01,Local_and_Special_Service_District
College-Young Mosquito Abatement District,0014100000rD1BzAAK,1472,2018-01-01,Local_and_Special_Service_District
Copperton Improvement District,0014100000rD1C0AAK,1191,2018-01-01,Local_and_Special_Service_District
Corinne Cemetery Maintenance District,0014100000rD1C1AAK,1473,2018-01-01,Local_and_Special_Service_District
Corinne Drainage District 1,0014100000rD1C2AAK,1474,2018-01-01,Local_and_Special_Service_District
Cornish Cemetery Maintenance District,0014100000rD1C3AAK,1475,2018-01-01,Local_and_Special_Service_District
Cottonwood Improvement District,0014100000rD1C4AAK,739,2018-01-01,Local_and_Special_Service_District
Crescent Cemetery Maintenance District,0014100000rD1C5AAK,1476,2018-01-01,Local_and_Special_Service_District
Daggett Mosquito Abatement District,0014100000rD1C6AAK,1477,2018-01-01,Local_and_Special_Service_District
Daggett County Service Area No. 1,0014100000rD1C7AAK,1548,2018-01-01,Local_and_Special_Service_District
Daggett Water District,0014100000rD1C8AAK,1478,2018-01-01,Local_and_Special_Service_District
Dammeron Valley Fire Special Service District,0014100000rD1C9AAK,1549,2018-01-01,Local_and_Special_Service_District
Delta-Sutherland-Oasis Cemetery Maint.,0014100000rD1CAAA0,1479,2018-01-01,Local_and_Special_Service_District
Deseret-Oasis Special Service District,0014100000rD1CCAA0,1357,2018-01-01,Local_and_Special_Service_District
Duchesne County Mosquito Abatement District,0014100000rD1CEAA0,1440,2018-01-01,Local_and_Special_Service_District
Duchesne County Special Service District 2,0014100000rD1CFAA0,773,2018-01-01,Local_and_Special_Service_District
Duchesne County Special Service District 3,0014100000rD1CGAA0,1550,2018-01-01,Local_and_Special_Service_District
Upper Country Water Improvement District,0014100000rD1CHAA0,1045,2018-01-01,Local_and_Special_Service_District
Duchesne County Water Conservancy District,0014100000rD1CIAA0,703,2017-07-01,Local_and_Special_Service_District
East Duchesne Culinary Water Improvement Dist,0014100000rD1CJAA0,1185,2018-01-01,Local_and_Special_Service_District
East Garland Cemetery Maintenance District,0014100000rD1CKAA0,1480,2018-01-01,Local_and_Special_Service_District
East Juab Water Conservancy District,0014100000rD1CLAA0,1435,2018-01-01,Local_and_Special_Service_District
East Lewiston Drainage District 4,0014100000rD1CMAA0,1481,2018-01-01,Local_and_Special_Service_District
